Mv,Half-light radius,Projected Half-light radius,Total Mass,Total Stellar Mass,Total Stellar Mass Fraction,M200c,R200c,Half-Mass Radius,Distance From Host,Host-Enclosed Mass,Host Half-Light Radius,Host Half-Mass Radius,Host Mv,Mean [Fe/H],[Fe/H] Spread,Mean Age,Mean Tform,Orbital Velocity,Vx spread,Vy spread,Vz spread,X spread,Y spread,Z spread,R spread,Simulation,Output Number,Halo ID,Parent ID,follow up,Age Spread,Age Range,DMC,GC,Unnamed: 35,New Mean [Fe/H],New Median [Fe/H],new mean std,median std,trace,Unnamed: 41,vx update,vy update,vz update,x update,y update,z update,r update,Redshift Max,Redshift Min,Redshift,[Fe/H] Spread Weighted
-5.550971473,6.594389458,5.175146516,4.562372272,4.562372272,1.0,4.562372272,191.8253009,6.58462312,4294.805564,8.974961249,334.512398,13773.02032,-10.87771876,-1.979536689,0.161783733,12617.83135,1183.245356,30.74998653,1.563656886,1.608189802,1.464868237,18.32518647,21.11099531,15.37480209,18.28676452,Halo383_fiducial_early,130,1591,1,0.0,2.444900204,10.71117759,0.0,1.0,forms at output 26,-1.989294481,-2.076291026,0.09818546,0.098213216,1.0,,,,,,,,,4.91333449,4.91333449,4.91333449,0.159812733149249
-6.580938359,7.908377893,5.566953847,4.923350043,4.923350043,1.0,4.923350043,575.4759028,7.669996248,7813.224143,9.040533294,5463.131087,12392.45208,-11.03288512,-1.813839966,0.1269569,11379.48766,2421.420338,24.58598229,2.182416056,2.254546617,2.127157246,33.94891571,32.34728433,36.10904411,33.37489298,Halo383_Massive,172,921,2,1.0,1.699048743,9.250365626,1.0,1.0,,-1.828842277,-1.843504369,0.367104217,0.367248303,1.0,,,,,,,,,2.665212026,2.690995316,2.665212026,0.125724569846094
-3.924415332,4.063671134,2.889123904,3.883200276,3.883200276,1.0,,,4.041979919,1112.777061,8.325829866,1015.672217,16268.35334,-12.09435469,-1.557385282,0.038248336,11914.24089,1886.667112,28.61191392,1.125878345,1.097114521,1.24875423,3.21195804,3.135274094,3.171903987,3.291189114,Halo383_Massive_survivors,172,-420,1,,1.796973354,8.457563009,0.0,1.0,,,,,,,,,,,,,,,,,3.347811003,0.058879384792144
-3.238512762,8.64733442,5.577139389,3.607105222,3.607105222,1.0,,,7.681460668,2244.152779,8.769549888,1015.672217,16268.35334,-12.09435469,-1.470072892,0.051219634,11872.08953,1928.818471,33.58031712,0.33817584,0.370926519,0.411034196,8.712724825,4.319580536,10.54916097,12.72553075,Halo383_Massive_survivors,172,-420,1,,2.616473878,9.121921448,0.0,1.0,,,,,,,,,,,,,,,,,3.217773536,0.059321410151801
-3.234409597,8.190299037,7.782833496,3.613175951,3.613175951,1.0,,,8.019819641,2809.4785,8.892825331,1015.672217,16268.35334,-12.09435469,-1.450771477,0.033969126,12060.81747,1740.090528,34.58882968,0.4712101,0.389974633,0.361157646,7.16895589,4.485219463,5.352244731,5.926749304,Halo383_Massive_survivors,172,-420,1,,2.049790913,8.183370092,0.0,1.0,,,,,,,,,,,,,,,,,3.545436036,0.032902655213344
