Mv,Half-light radius,Projected Half-light radius,Total Mass,Total Stellar Mass,Total Stellar Mass Fraction,M200c,R200c,Half-Mass Radius,Distance From Host,Host-Enclosed Mass,Host Half-Light Radius,Host Half-Mass Radius,Host Mv,Mean [Fe/H],[Fe/H] Spread,Mean Age,Mean Tform,Orbital Velocity,Vx spread,Vy spread,Vz spread,X spread,Y spread,Z spread,R spread,Simulation,Output Number,Halo ID,Parent ID,follow up,Age Spread,Age Range,DMC,GC,Unnamed: 35,New Mean [Fe/H],New Median [Fe/H],new mean std,median std,trace,Unnamed: 41,vx update,vy update,vz update,x update,y update,z update,r update,Redshift Max,Redshift Min,Redshift,[Fe/H] Spread Weighted
-2.559987174,59.28410549,46.15720161,7.516308268,3.400108903,7.65e-05,7.516308268,6743.397117,1419.756993,29550.8508,9.418164928,105.1359829,10889.75503,-9.177962578,-3.438406299,0.096198121,13143.76468,657.3527212,19.52691016,1.502963017,2.212825188,1.613813611,38.99034525,41.40916355,44.6149311,45.51701788,Halo624_fiducial_hires,133,6,1,1.0,4.968711758,19.53804401,1.0,0.0,DMC?,-3.442521804,-3.444286087,0.242612286,0.244169172,0.0,,,,,,,,,7.543182541,7.803750765,7.803750765,0.100077486063289
-3.178788833,44.0223837,38.84988625,7.157499576,3.647044525,0.000308706,7.157499576,5120.259956,768.759791,11173.99644,9.127436213,105.1359829,10889.75503,-9.177962578,-2.940907654,0.248032964,13134.67566,666.4417319,22.72217503,1.933959151,2.341857894,1.887101204,40.71954796,53.82183196,36.67163989,43.4525672,Halo624_fiducial_hires,133,20,1,1.0,4.060658902,18.90459631,1.0,0.0,DMC?,-2.984120013,-3.008890817,0.224854803,0.224854803,0.0,,,,,,,,,7.543182541,7.803750765,7.543182541,0.249309384078237
-2.036852764,49.75625633,33.70280909,6.934184627,3.169072641,0.000171747,6.934184627,4323.447167,506.5981623,14816.40275,9.228497381,105.1359829,10889.75503,-9.177962578,-2.818124525,0.0,12805.72855,995.3888515,22.16732874,1.809619194,0.478887572,1.350475067,20.8351303,30.84373202,14.42827181,11.34079631,Halo624_fiducial_hires,133,29,1,1.0,3.798054008,11.57797757,1.0,0.0,DMC?,,,0.293871203,0.296062289,0.0,,,,,,,,,5.443274779,5.666461604,5.666461604,0.0
-5.26473452,44.00441734,34.29131953,6.532377709,4.488863923,0.009046617,6.532377709,1490.33503,274.487867,2991.705872,8.532127282,105.1359829,10889.75503,-9.177962578,-2.765936976,0.254066954,13252.11258,549.0048179,22.12790269,2.2438272,2.167011973,2.398554208,35.23067607,37.40307228,28.90774478,38.01574885,Halo624_fiducial_hires,133,69,1,1.0,4.470858614,24.0154801,1.0,0.0,DMC?,-2.759249183,-2.721821101,0.232053823,0.238880678,0.0,,,,,,,,,8.641600062,9.052114582,8.641600062,0.253724435943927
-2.322109616,26.4656988,26.04446174,7.45930818,3.305920915,7.02e-05,7.45930818,6463.037062,2079.544719,,,,,,-3.095062828,0.232053823,13158.66169,642.8776415,,1.654101232,2.131865526,1.708555532,19.44219085,25.48577885,21.23250833,22.59011534,Halo1459_fiducial_hires,119,8,0,1.0,7.298455535,25.89022356,1.0,0.0,,-3.100714947,-3.157415931,0.991191513,1.084552993,0.0,,0.922933244,1.60425579,1.704492237,9.87662163,19.83908358,5.219590275,10.87155079,7.629692391,8.090042031,7.629692391,0.241337301558251
-4.878263242,41.60403364,30.97577461,7.465637439,4.300352883,0.000683464,7.465637439,6492.548647,1584.417839,16561.79803,9.020971845,110.9362713,8929.817845,-6.934839913,-2.766899656,0.162529867,12724.95754,1078.138914,16.51080467,1.986293196,2.049606433,2.32816088,33.25593043,28.77013946,30.96096429,35.68031918,Halo1445_fiducial_hires,108,6,1,1.0,3.222155506,15.30979762,1.0,0.0,,-2.766028956,-2.752412675,0.240745665,0.263760233,0.0,,,,,,,,,5.328728345,5.328728345,5.328728345,0.159794493708534
